periodo,total,hombres,mujeres,hombresMenor25,mujeresMenor25,totalMenor25,hombresMayor25,mujeresMayor25,totalMayor25,agricultura,industria,construccion,servicios,sinEmpleo,andalucia,aragon,asturias,balears,canarias,cantabria,castillaMancha,castillaLeon,catalunya,comValenciana,extremadura,galicia,madrid,murcia,navarra,paisVasco,rioja,ceuta,melilla,ts
"15-07",4046276,1834143,2212133,174117,161358,335475,1660026,2050775,3710801,200131,389367,457133,2641480,358165,982425,91804,86551,54407,243906,42615,215136,189331,501785,473880,123119,216371,454661,126944,42330,153873,21483,13201,12454,1435708800000.0
"15-06",4120304,1877698,2242606,180155,164309,344464,1697543,2078297,3775840,202456,400648,467644,2685783,363773,1001744,92829,89222,55508,248223,43208,215225,193004,510947,481623,122840,229062,461094,127832,42911,156905,22022,13730,12375,1433116800000.0
"15-05",4215031,1931160,2283871,192103,178638,370741,1739057,2105233,3844290,195429,414787,479350,2747670,377795,1006591,95547,92786,58832,251941,44595,222016,201259,531899,488371,124358,236981,475184,130613,44676,161507,22309,13375,12191,1430438400000.0
"15-04",4333016,2004404,2328612,198512,183500,382012,1805892,2145112,3951004,209571,427661,496870,2816496,382418,1014675,99638,94434,66756,254016,45806,229610,208462,552974,502532,128732,244761,491281,135957,46370,167441,23802,13405,12364,1427846400000.0
"15-03",4451939,2080784,2371155,204543,185990,390533,1876241,2185165,4061406,224790,439216,516319,2889380,382234,1029100,102368,96418,75091,256851,47720,240823,219917,571655,510616,134713,252137,503441,140601,48427,171405,25009,13320,12327,1425168000000.0
"15-02",4512153,2117980,2394173,202455,185046,387501,1915525,2209127,4124652,228851,446109,525166,2938404,373623,1039837,103066,98302,80295,258687,48514,242405,223293,581124,518388,137223,257549,508448,144432,49049,170895,25385,13135,12126,1422748800000.0
"15-01",4525691,2137837,2387854,201407,183525,384932,1936430,2204329,4140759,228384,452644,535257,2938627,370779,1037716,103294,99514,83066,259743,51756,242266,224869,582769,518733,139889,259002,506037,144859,49428,172165,25429,12713,12443,1420070400000.0
"14-12",4447711,2112508,2335203,202159,185791,387950,1910349,2149412,4059761,212526,453397,543114,2861883,376791,1009683,101572,96634,83560,260682,50446,237240,222851,575948,511164,141002,251918,498649,142244,47786,165771,25281,12595,12685,1417392000000.0
"14-11",4512116,2120210,2391906,215784,201091,416875,1904426,2190815,4095241,215165,450962,530425,2927158,388406,1034584,103665,98056,84311,265385,50926,238370,221577,581652,522103,140440,248632,512177,142651,47506,168729,25120,12905,13327,1414800000000.0
"14-10",4526804,2136227,2390577,217065,202917,419982,1919162,2187660,4106822,223745,456266,539490,2918218,389085,1044155,105747,98337,75513,265791,49893,239674,218065,587133,528866,141631,244044,516048,143487,47019,170822,24323,12952,13304,1412121600000.0
